pos,resource,type,match,cost,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1.1,822,Q,74.646621,26.353379000000004, , , , , , , , , , , , , , , , , , , , , , , , ,1,1
2.1,221,Q,69.792329,31.207671000000005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.2,489,Q,67.929681,33.070319,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.3,892,Q,65.335318,35.664682,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.1,13,T,63.378589,930.1791460000001,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.2,Gap,G,0,7441.4331680000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.1,207,Q,79.910297,21.089703, , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1
5.1,Hire,H,0,140.471132, , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.1,549,Q,88.572965,12.427035000000004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8.1,119,Q,73.688504,27.311496000000005, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1
9.1,530,Q,82.115479,18.884521000000007, , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10.1,163,T,64.810165,1471.665132,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11.1,Hire,H,0,1238.8133520000001,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12.1,Hire,H,0,1283.9632199999999,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13.1,31,T,63.414264,1500.0557039999997,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14.1,1143,Q,74.56709,26.432910000000007,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16.1,Hire,H,0,1539.7133840000004,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17.1,39,Q,68.569018,32.430982, , , , , , , , , , , , , , , , , , , , , , ,1,1,1,1
18.1,1173,Q,68.995674,32.004326000000006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19.1,760,Q,73.377524,27.622476000000006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.1,498,Q,68.037628,32.962372, , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21.2,5,Q,67.938366,33.061634, , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22.1,1232,Q,65.423679,321.33648100000005,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23.1,837,Q,67.931424,33.06857599999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.1,430,Q,66.573405,34.426595000000006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.2,Hire,H,0,1286.364348,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24.3,Hire,H,0,1286.364348,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25.1,23,Q,68.807344,32.192656, , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1
26.1,1206,T,64.431001,1215.293722,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27.1,785,Q,73.224162,27.775837999999993,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.1,1110,Q,67.080021,33.919979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.2,203,T,63.791042,357.16500999999994,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28.3,289,T,64.074763,357.16500999999994,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29.1,846,Q,79.279165,21.720834999999994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30.1,1266,T,64.141173,7202.68875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31.1,Gap,G,0,7434.662560000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.1,440,Q,67.105152,33.894847999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33.1,185,Q,76.458228,24.541771999999995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34.1,938,Q,67.778546,33.221453999999994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35.1,789,T,64.342733,6080.38575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
36.1,1228,Q,73.043786,27.956214000000003, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37.1,380,Q,83.020563,17.979437000000004, , , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1
38.1,636,Q,68.587576,32.412424, , , , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1
39.1,1288,Q,80.71947,20.28053, , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.1,106,Q,70.624932,30.375068,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
40.2,299,Q,70.611743,30.388256999999996,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
