periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
1.1,1,25,2,822,Q,1,25,0,2,0,26.353379000000004,0.0,26.353379000000004,74.646621
2.1,2,1,26,221,Q,1,1,0,26,0,31.207671000000005,0.0,31.207671000000005,69.792329
2.2,2,1,26,489,Q,1,1,0,26,0,33.070319,0.0,33.070319,67.929681
2.3,2,1,26,892,Q,1,1,0,26,0,35.664682,0.0,35.664682,65.335318
3.1,3,1,26,13,T,1,4,3,23,3,71.55224199999998,858.6269040000001,930.1791460000001,63.378589
3.2,3,1,26,Gap,G,0,0,0,0,26,0.0,7441.4331680000005,7441.4331680000005,0
4.1,4,16,11,207,Q,1,16,0,11,0,21.089703,0.0,21.089703,79.910297
5.1,5,7,20,Hire,H,0,7,5,20,0,140.471132,0.0,140.471132,0
7.1,7,1,26,549,Q,1,1,0,26,0,12.427035000000004,0.0,12.427035000000004,88.572965
8.1,8,23,4,119,Q,1,23,0,4,0,27.311496000000005,0.0,27.311496000000005,73.688504
9.1,9,10,17,530,Q,1,10,0,17,0,18.884521000000007,0.0,18.884521000000007,82.115479
10.1,10,1,26,163,T,1,6,5,21,5,70.0792919999999,1401.5858400000002,1471.665132,64.810165
11.1,11,1,26,Hire,H,0,5,4,22,4,137.6459279999999,1101.1674240000002,1238.8133520000001,0
12.1,12,1,26,Hire,H,0,5,4,22,4,142.66257999999993,1141.30064,1283.9632199999999,0
13.1,13,1,26,31,T,1,6,5,21,5,71.43122399999993,1428.6244799999997,1500.0557039999997,63.414264
14.1,14,1,26,1143,Q,1,1,0,26,0,26.432910000000007,0.0,26.432910000000007,74.56709
16.1,16,1,26,Hire,H,0,6,5,21,5,139.97394400000007,1399.7394400000003,1539.7133840000004,0
17.1,17,23,4,39,Q,6,23,0,4,0,32.430982,0.0,32.430982,68.569018
18.1,18,1,26,1173,Q,1,1,0,26,0,32.004326000000006,0.0,32.004326000000006,68.995674
19.1,19,1,26,760,Q,1,1,0,26,0,27.622476000000006,0.0,27.622476000000006,73.377524
21.1,21,7,20,498,Q,1,7,0,20,0,32.962372,0.0,32.962372,68.037628
21.2,21,7,20,5,Q,1,7,0,20,0,33.061634,0.0,33.061634,67.938366
22.1,22,1,26,1232,Q,2,2,0,25,1,35.57632100000001,285.76016000000004,321.33648100000005,65.423679
23.1,23,1,26,837,Q,1,1,0,26,0,33.06857599999999,0.0,33.06857599999999,67.931424
24.1,24,1,26,430,Q,1,1,0,26,0,34.426595000000006,0.0,34.426595000000006,66.573405
24.2,24,1,26,Hire,H,0,5,4,22,4,142.92937200000006,1143.434976,1286.364348,0
24.3,24,1,26,Hire,H,0,5,4,22,4,142.92937200000006,1143.434976,1286.364348,0
25.1,25,16,11,23,Q,1,16,0,11,0,32.192656,0.0,32.192656,68.807344
26.1,26,1,26,1206,T,2,5,3,22,4,71.48786599999994,1143.805856,1215.293722,64.431001
27.1,27,1,26,785,Q,1,1,0,26,0,27.775837999999993,0.0,27.775837999999993,73.224162
28.1,28,1,26,1110,Q,1,1,0,26,0,33.919979,0.0,33.919979,67.080021
28.2,28,1,26,203,T,1,2,1,25,1,71.43300199999999,285.73200799999995,357.16500999999994,63.791042
28.3,28,1,26,289,T,1,2,1,25,1,71.43300199999999,285.73200799999995,357.16500999999994,64.074763
29.1,29,1,26,846,Q,1,1,0,26,0,21.720834999999994,0.0,21.720834999999994,79.279165
30.1,30,1,26,1266,T,23,26,3,1,25,71.31375000000025,7131.375,7202.68875,64.141173
31.1,31,1,26,Gap,G,0,0,0,0,26,0.0,7434.662560000001,7434.662560000001,0
32.1,32,1,26,440,Q,1,1,0,26,0,33.894847999999996,0.0,33.894847999999996,67.105152
33.1,33,1,26,185,Q,1,1,0,26,0,24.541771999999995,0.0,24.541771999999995,76.458228
34.1,34,1,26,938,Q,1,1,0,26,0,33.221453999999994,0.0,33.221453999999994,67.778546
35.1,35,1,26,789,T,16,22,6,5,21,71.53395,6008.8518,6080.38575,64.342733
36.1,36,2,25,1228,Q,1,2,0,25,0,27.956214000000003,0.0,27.956214000000003,73.043786
37.1,37,18,9,380,Q,1,18,0,9,0,17.979437000000004,0.0,17.979437000000004,83.020563
38.1,38,17,10,636,Q,8,17,0,10,0,32.412424,0.0,32.412424,68.587576
39.1,39,7,20,1288,Q,1,7,0,20,0,20.28053,0.0,20.28053,80.71947
40.1,40,1,26,106,Q,1,1,0,26,0,30.375068,0.0,30.375068,70.624932
40.2,40,1,26,299,Q,1,1,0,26,0,30.388256999999996,0.0,30.388256999999996,70.611743
41.1,41,1,26,201,Q,1,1,0,26,0,22.403603000000004,0.0,22.403603000000004,78.596397
