periodos,26,Recursos,1309,positions,1093,jobs,1000
pos,job,perStart,perToFill,ResAsig,ResType,ResRedy,ResStart,LedTime,Filled,Gap,AsigC,GapC,TotC,MS
1.1,1,25,2,958,Q,21,25,0,2,0,32.0,0.0,32.0,68.109137
2.1,2,1,26,892,Q,1,1,0,26,0,35.0,0.0,35.0,65.335318
2.2,2,1,26,489,Q,1,1,0,26,0,33.0,0.0,33.0,67.929681
2.3,2,1,26,221,Q,1,1,0,26,0,31.0,0.0,31.0,69.792329
3.1,3,1,26,383,Q,1,1,0,26,0,35.0,0.0,35.0,65.509859
3.2,3,1,26,681,T,1,4,3,23,3,71.37309599999992,858.6269040000001,930.0,63.19874
4.1,4,16,11,83,Q,9,16,0,11,0,27.0,0.0,27.0,73.115717
5.1,5,7,20,99,T,1,7,4,20,0,70.0,0.0,70.0,64.27767
7.1,7,1,26,251,Q,1,1,0,26,0,13.0,0.0,13.0,87.978411
8.1,8,23,4,699,Q,22,23,0,4,0,33.0,0.0,33.0,67.877374
9.1,9,10,17,1022,Q,1,10,0,17,0,28.0,0.0,28.0,72.003261
10.1,10,1,26,1244,Q,1,1,0,26,0,35.0,0.0,35.0,65.960354
11.1,11,1,26,713,Q,1,1,0,26,0,34.0,0.0,34.0,66.588518
12.1,12,1,26,480,Q,1,1,0,26,0,34.0,0.0,34.0,66.854288
13.1,13,1,26,452,Q,1,1,0,26,0,33.0,0.0,33.0,67.970886
14.1,14,1,26,1143,Q,1,1,0,26,0,26.0,0.0,26.0,74.56709
16.1,16,1,26,Hire,H,0,6,5,21,5,139.2605599999997,1399.7394400000003,1539.0,0
17.1,17,23,4,39,Q,6,23,0,4,0,32.0,0.0,32.0,68.569018
18.1,18,1,26,1173,Q,1,1,0,26,0,32.0,0.0,32.0,68.995674
19.1,19,1,26,118,Q,1,1,0,26,0,34.0,0.0,34.0,66.996337
21.1,21,7,20,5,Q,1,7,0,20,0,33.0,0.0,33.0,67.938366
21.2,21,7,20,379,Q,1,7,0,20,0,33.0,0.0,33.0,67.530806
22.1,22,1,26,1299,Q,1,1,0,26,0,25.0,0.0,25.0,75.659639
23.1,23,1,26,197,Q,1,1,0,26,0,28.0,0.0,28.0,72.45114
24.1,24,1,26,447,Q,1,1,0,26,0,26.0,0.0,26.0,74.651226
24.2,24,1,26,1164,Q,1,1,0,26,0,34.0,0.0,34.0,66.077781
24.3,24,1,26,430,Q,1,1,0,26,0,34.0,0.0,34.0,66.573405
25.1,25,16,11,487,Q,15,16,0,11,0,33.0,0.0,33.0,67.911928
26.1,26,1,26,160,Q,1,1,0,26,0,30.0,0.0,30.0,70.03288
27.1,27,1,26,509,Q,1,1,0,26,0,33.0,0.0,33.0,67.485315
28.1,28,1,26,969,Q,1,1,0,26,0,29.0,0.0,29.0,71.652897
28.2,28,1,26,704,Q,1,1,0,26,0,34.0,0.0,34.0,66.162007
28.3,28,1,26,712,Q,1,1,0,26,0,33.0,0.0,33.0,67.402539
29.1,29,1,26,846,Q,1,1,0,26,0,21.0,0.0,21.0,79.279165
30.1,30,1,26,1293,Q,1,1,0,26,0,35.0,0.0,35.0,65.443242
31.1,31,1,26,1165,Q,1,1,0,26,0,35.0,0.0,35.0,65.749133
32.1,32,1,26,211,Q,1,1,0,26,0,33.0,0.0,33.0,67.105152
33.1,33,1,26,185,Q,1,1,0,26,0,24.0,0.0,24.0,76.458228
34.1,34,1,26,938,Q,1,1,0,26,0,33.0,0.0,33.0,67.778546
35.1,35,1,26,1281,Q,1,1,0,26,0,34.0,0.0,34.0,66.704396
36.1,36,2,25,1052,Q,1,2,0,25,0,32.0,0.0,32.0,68.256779
